,ra_deg,dec_deg
0,267.020833333,-24.78
1,6.02232916667,-72.08144444439999
2,276.137041667,-24.8698333333
3,322.493041667,12.167
4,255.3025,-30.1123611111
5,267.219458333,-20.359583333299998
6,267.219458333,-20.359583333299998
7,275.918791667,-30.3610277778
8,229.638416667,2.08102777778
9,250.423475,36.4613194444
10,287.717125,-59.984555555600004
11,205.548416667,28.377277777800003
12,267.554416667,-37.0514444444
13,270.4599,-8.95955277778
14,270.892,-30.0339722222
15,286.314,1.9
16,325.092166667,-23.179861111100003
17,271.83575,-24.9973333333
18,279.09975,-23.90475
19,287.80025,1.03047222222
20,78.5281666667,-40.0465555556
21,198.23020833299998,18.1681666667
22,245.89675,-26.52575
23,260.29225,-19.5874166667
24,265.175375,-53.6743333333
25,271.20725,-7.585861111110001
26,278.940125,-32.9907222222
27,298.443708333,18.7791944444
28,236.5125,-37.7864166667
