,ra_deg,dec_deg
0,269.31291666666664,-53.37397222222222
1,322.43749999999994,-4.484861111111111
2,322.505,12.177277777777777
3,175.27916666666664,-65.75530555555555
4,114.46333333333332,-30.661305555555554
5,114.46333333333332,-30.661305555555554
6,288.86625,16.107583333333334
7,270.52208333333334,-21.401
8,234.29125,11.932055555555555
9,269.1941666666666,-22.866472222222225
10,286.7033333333333,7.773861111111111
11,231.36708333333328,-55.76383333333333
12,269.2654166666666,-18.900916666666664
13,162.1808333333333,23.66483333333333
14,298.1533333333333,26.50777777777778
15,288.3708333333333,11.034916666666666
